Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,6,1.5574211E-018,8.6858454E-017,-5.2888972E-002,-9.9416940E-020,1.3003479E-023,1.9411516E-004,---,---,---,---,---,---,---,---,---
,,,,7,2.9238159E-018,1.2243879E-016,-5.8852059E-002,-1.3102504E-019,2.4695453E-023,1.8297168E-004,---,---,---,---,---,---,---,---,---
,,,,8,5.2068585E-018,1.7542756E-016,-6.3239178E-002,-1.7846045E-019,4.6498903E-023,1.5692360E-004,---,---,---,---,---,---,---,---,---
,,,,9,9.0691863E-018,2.5803135E-016,-6.6990959E-002,-2.8373647E-019,8.9139720E-023,1.5265774E-004,---,---,---,---,---,---,---,---,---
,,,,10,1.5753069E-017,3.9579645E-016,-6.9394543E-002,-4.3590144E-019,1.6890213E-022,1.1289934E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Value,-1.0310555E-019,8.3337341E-018,-1.0314642E-002,-3.5594519E-020,3.1647778E-025,1.9411516E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,6,---,---,---,---,---,---,---,---,---
*,,,,Min Value,-1.0310555E-019,8.3337341E-018,-6.9394543E-002,-3.5594519E-020,3.1647778E-025,4.3716836E-005,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,ñÓî¬-035
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,4.8772697E-002,-8.0861817E-003,-1.0252919E-019,2.8534188E-006,-1.2275396E-004,-3.6493633E-020,---,---,---,---,---,---,---,---,---
,,,,2,9.7374856E-002,-1.6106089E-002,-1.1927208E-019,5.6860243E-006,-1.2407593E-004,-4.2794952E-020,---,---,---,---,---,---,---,---,---
,,,,3,1.4108553E-001,-2.4366406E-002,-2.5502682E-020,9.5099538E-006,-1.2533488E-004,-5.6895520E-020,---,---,---,---,---,---,---,---,---
,,,,4,1.8452313E-001,-3.2542209E-002,2.2255739E-019,1.2741996E-005,-1.2650273E-004,-7.1598224E-020,---,---,---,---,---,---,---,---,---
,,,,5,2.2386040E-001,-4.0866450E-002,6.8924885E-019,1.7264975E-005,-1.2595020E-004,-1.0044949E-019,---,---,---,---,---,---,---,---,---
,,,,6,2.6367956E-001,-4.9093767E-002,1.4894495E-018,2.0500073E-005,-1.2692845E-004,-1.3581693E-019,---,---,---,---,---,---,---,---,---
,,,,7,2.9854292E-001,-5.7491646E-002,2.8069582E-018,2.6150440E-005,-1.2377168E-004,-2.1191160E-019,---,---,---,---,---,---,---,---,---
,,,,8,3.2754139E-001,-6.5975806E-002,5.0097801E-018,3.3108884E-005,-1.2082063E-004,-3.4698667E-019,---,---,---,---,---,---,---,---,---
,,,,9,3.5506538E-001,-7.4376667E-002,8.7377223E-018,3.8036241E-005,-1.1745117E-004,-5.5596080E-019,---,---,---,---,---,---,---,---,---
,,,,10,3.7849547E-001,-8.2866492E-002,1.5189296E-017,4.4878234E-005,-1.0957050E-004,-9.8343082E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,3.7849547E-001,-8.0861817E-003,-1.0252919E-019,4.4878234E-005,-1.0957050E-004,-3.6493633E-020,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,4.8772697E-002,-8.2866492E-002,-1.0252919E-019,2.8534188E-006,-1.2650273E-004,-3.6493633E-020,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,1,4,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,-1.2169649E-019,8.3337341E-018,-1.2816465E-002,-4.4273155E-020,5.3681481E-025,5.3262319E-005,---,---,---,---,---,---,---,---,---
,,,,2,-1.3495758E-019,1.7917117E-017,-2.5547114E-002,-5.1036558E-020,1.2612346E-024,1.0536739E-004,---,---,---,---,---,---,---,---,---
,,,,3,-8.2069861E-021,2.9417933E-017,-3.7075098E-002,-5.7323293E-020,2.3070218E-024,1.4486083E-004,---,---,---,---,---,---,---,---,---
,,,,4,3.1419057E-019,4.3626145E-017,-4.8478502E-002,-7.3461384E-020,4.5709596E-024,1.9144083E-004,---,---,---,---,---,---,---,---,---
,,,,5,9.1438203E-019,6.2054795E-017,-5.8847575E-002,-9.3060248E-020,8.5441127E-024,2.1936817E-004,---,---,---,---,---,---,---,---,---
,,,,6,1.9385148E-018,8.6863179E-017,-6.9228171E-002,-1.3408820E-019,1.6635140E-023,2.6377687E-004,---,---,---,---,---,---,---,---,---
,,,,7,3.6213745E-018,1.2245030E-016,-7.8337193E-002,-1.8642435E-019,3.0560917E-023,2.7244713E-004,---,---,---,---,---,---,---,---,---
,,,,8,6.4310132E-018,1.7545229E-016,-8.6175697E-002,-2.7129044E-019,5.6346545E-023,2.7098573E-004,---,---,---,---,---,---,---,---,---
,,,,9,1.1182311E-017,2.5808050E-016,-9.3436291E-002,-4.3600010E-019,1.0633905E-022,2.8392239E-004,---,---,---,---,---,---,---,---,---
,,,,10,1.9404528E-017,3.9588998E-016,-9.9539513E-002,-7.0885410E-019,2.0053622E-022,2.6838177E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Value,-1.2169649E-019,8.3337341E-018,-1.2816465E-002,-4.4273155E-020,5.3681481E-025,2.8392239E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,9,---,---,---,---,---,---,---,---,---
*,,,,Min Value,-1.2169649E-019,8.3337341E-018,-9.9539513E-002,-4.4273155E-020,5.3681481E-025,5.3262319E-005,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,ñÓî¬-034
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,5.3155940E-002,-9.5604626E-003,-1.4152898E-019,4.1365900E-006,-2.3221667E-004,-5.3191002E-020,---,---,---,---,---,---,---,---,---
,,,,2,1.0611572E-001,-1.9041883E-002,-1.6189282E-019,8.2354108E-006,-2.3425850E-004,-6.1992825E-020,---,---,---,---,---,---,---,---,---
,,,,3,1.5387230E-001,-2.8810282E-002,-2.5999346E-020,1.3691320E-005,-2.4596225E-004,-8.1842345E-020,---,---,---,---,---,---,---,---,---
,,,,4,2.0131969E-001,-3.8477847E-002,3.2812845E-019,1.8337785E-005,-2.4818602E-004,-1.0247901E-019,---,---,---,---,---,---,---,---,---
,,,,5,2.4439719E-001,-4.8322616E-002,9.9173271E-019,2.4739503E-005,-2.5658240E-004,-1.4306496E-019,---,---,---,---,---,---,---,---,---
,,,,6,2.8795305E-001,-5.8051735E-002,2.1275005E-018,2.9391909E-005,-2.5682680E-004,-1.9263680E-019,---,---,---,---,---,---,---,---,---
,,,,7,3.2622077E-001,-6.7984460E-002,3.9961238E-018,3.7320520E-005,-2.6440358E-004,-2.9942887E-019,---,---,---,---,---,---,---,---,---
,,,,8,3.5830504E-001,-7.8020193E-002,7.1187462E-018,4.6998710E-005,-2.7686661E-004,-4.8842895E-019,---,---,---,---,---,---,---,---,---
,,,,9,3.8875343E-001,-8.7956526E-002,1.2401850E-017,5.3947563E-005,-2.7612675E-004,-7.8008113E-019,---,---,---,---,---,---,---,---,---
,,,,10,4.1480018E-001,-9.7999055E-002,2.1544632E-017,6.3482030E-005,-2.7708865E-004,-1.3760571E-018,---,---,---,---,---,---,---,---,---
*,,,,Max Value,4.1480018E-001,-9.5604626E-003,-1.4152898E-019,6.3482030E-005,-2.3221667E-004,-5.3191002E-020,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,5.3155940E-002,-9.7999055E-002,-1.4152898E-019,4.1365900E-006,-2.7686661E-004,-5.3191002E-020,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,1,8,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,-1.3790507E-019,8.3337341E-018,-1.6648942E-002,-5.7522333E-020,9.5269773E-025,6.7711878E-005,---,---,---,---,---,---,---,---,---
,,,,2,-1.4809712E-019,1.7917081E-017,-3.3213448E-002,-6.6367476E-020,2.2255701E-024,1.3415543E-004,---,---,---,---,---,---,---,---,---
,,,,3,6.8966301E-021,2.9417944E-017,-4.8923135E-002,-7.7667710E-020,4.0706225E-024,1.9300308E-004,---,---,---,---,---,---,---,---,---
,,,,4,3.9283901E-019,4.3626625E-017,-6.4517541E-002,-9.9190050E-020,7.4552785E-024,2.5594288E-004,---,---,---,---,---,---,---,---,---
,,,,5,1.1070664E-018,6.2056800E-017,-7.9366377E-002,-1.2952941E-019,1.3223033E-023,3.0674688E-004,---,---,---,---,---,---,---,---,---
,,,,6,2.3224056E-018,8.6868890E-017,-9.4177688E-002,-1.8406194E-019,2.4129458E-023,3.6755176E-004,---,---,---,---,---,---,---,---,---
,,,,7,4.3171371E-018,1.2246385E-016,-1.0806563E-001,-2.6526976E-019,4.3202129E-023,4.0477714E-004,---,---,---,---,---,---,---,---,---
,,,,8,7.6447862E-018,1.7548116E-016,-1.2112579E-001,-4.0182961E-019,7.8527190E-023,4.3835954E-004,---,---,---,---,---,---,---,---,---
,,,,9,1.3269704E-017,2.5813811E-016,-1.3369316E-001,-6.4766286E-019,1.4589655E-022,4.7624689E-004,---,---,---,---,---,---,---,---,---
,,,,10,2.3003516E-017,3.9600075E-016,-1.4538282E-001,-1.0854875E-018,2.7559530E-022,4.9527363E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Value,-1.3790507E-019,8.3337341E-018,-1.6648942E-002,-5.7522333E-020,9.5269773E-025,4.9527363E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,10,---,---,---,---,---,---,---,---,---
*,,,,Min Value,-1.3790507E-019,8.3337341E-018,-1.4538282E-001,-5.7522333E-020,9.5269773E-025,6.7711878E-005,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,ñÓî¬-033
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,5.8920458E-002,-1.1005299E-002,-1.8503400E-019,5.5698459E-006,-4.1930439E-004,-7.2651055E-020,---,---,---,---,---,---,---,---,---
,,,,2,1.1761980E-001,-2.1918858E-002,-2.0784035E-019,1.1087832E-005,-4.2255073E-004,-8.4366232E-020,---,---,---,---,---,---,---,---,---
,,,,3,1.7092812E-001,-3.3166016E-002,-2.1202859E-020,1.8379399E-005,-4.5764281E-004,-1.1098830E-019,---,---,---,---,---,---,---,---,---
,,,,4,2.2389455E-001,-4.4296067E-002,4.5805249E-019,2.4613343E-005,-4.6161873E-004,-1.3855882E-019,---,---,---,---,---,---,---,---,---
,,,,5,2.7232441E-001,-5.5632140E-002,1.3525761E-018,3.3140169E-005,-4.9067931E-004,-1.9294958E-019,---,---,---,---,---,---,---,---,---
,,,,6,3.2121179E-001,-6.6833886E-002,2.8807676E-018,3.9390169E-005,-4.8862727E-004,-2.5914009E-019,---,---,---,---,---,---,---,---,---
,,,,7,3.6460277E-001,-7.8272334E-002,5.3931164E-018,4.9904246E-005,-5.2169715E-004,-4.0208816E-019,---,---,---,---,---,---,---,---,---
,,,,8,4.0164873E-001,-8.9830575E-002,9.5892093E-018,6.2670400E-005,-5.6938977E-004,-6.5460554E-019,---,---,---,---,---,---,---,---,---
,,,,9,4.3692794E-001,-1.0127336E-001,1.6686488E-017,7.1912242E-005,-5.7574054E-004,-1.0436120E-018,---,---,---,---,---,---,---,---,---
,,,,10,4.6759745E-001,-1.1283963E-001,2.8968544E-017,8.4526037E-005,-5.9933679E-004,-1.8384349E-018,---,---,---,---,---,---,---,---,---
*,,,,Max Value,4.6759745E-001,-1.1005299E-002,-1.8503400E-019,8.4526037E-005,-4.1930439E-004,-7.2651055E-020,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,5.8920458E-002,-1.1283963E-001,-1.8503400E-019,5.5698459E-006,-5.9933679E-004,-7.2651055E-020,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,-1.5173131E-019,8.3337341E-018,-2.2065379E-002,-7.6207963E-020,1.7097247E-024,8.7734316E-005,---,---,---,---,---,---,---,---,---
,,,,2,-1.5701478E-019,1.7917062E-017,-4.4049499E-002,-8.7956557E-020,3.9735495E-024,1.7404844E-004,---,---,---,---,---,---,---,---,---
,,,,3,2.7443388E-020,2.9418039E-017,-6.5661222E-002,-1.0614625E-019,7.3439354E-024,2.5940023E-004,---,---,---,---,---,---,---,---,---
,,,,4,4.7731663E-019,4.3627359E-017,-8.7171411E-002,-1.3496043E-019,1.2855348E-023,3.4489893E-004,---,---,---,---,---,---,---,---,---
,,,,5,1.3048825E-018,6.2059431E-017,-1.0833669E-001,-1.7981957E-019,2.2217264E-023,4.2685366E-004,---,---,---,---,---,---,---,---,---
,,,,6,2.7091044E-018,8.6876000E-017,-1.2939770E-001,-2.5237375E-019,3.8652185E-023,5.1027903E-004,---,---,---,---,---,---,---,---,---
,,,,7,5.0110740E-018,1.2248030E-016,-1.5001867E-001,-3.7228932E-019,6.8397717E-023,5.8614228E-004,---,---,---,---,---,---,---,---,---
,,,,8,8.8480536E-018,1.7551593E-016,-1.7042083E-001,-5.7777269E-019,1.2397707E-022,6.6681331E-004,---,---,---,---,---,---,---,---,---
,,,,9,1.5331043E-017,2.5820772E-016,-1.9044979E-001,-9.3098595E-019,2.2784426E-022,7.3858395E-004,---,---,---,---,---,---,---,---,---
,,,,10,2.6549302E-017,3.9613599E-016,-2.0998975E-001,-1.5874479E-018,4.3402419E-022,8.0416030E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Value,-1.5173131E-019,8.3337341E-018,-2.2065379E-002,-7.6207963E-020,1.7097247E-024,8.0416030E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,10,---,---,---,---,---,---,---,---,---
*,,,,Min Value,-1.5173131E-019,8.3337341E-018,-2.0998975E-001,-7.6207963E-020,1.7097247E-024,8.7734316E-005,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,ñÓî¬-032
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,6.6576393E-002,-1.2420692E-002,-2.3232953E-019,7.1172426E-006,-7.2240256E-004,-9.4543683E-020,---,---,---,---,---,---,---,---,---
,,,,2,1.3290797E-001,-2.4737073E-002,-2.5585414E-019,1.4152619E-005,-7.2720316E-004,-1.0953252E-019,---,---,---,---,---,---,---,---,---
,,,,3,1.9382877E-001,-3.7433763E-002,-9.4984716E-021,2.3432814E-005,-8.0651919E-004,-1.4388359E-019,---,---,---,---,---,---,---,---,---
,,,,4,2.5437987E-001,-4.9997171E-002,6.1403863E-019,3.1383744E-005,-8.1320741E-004,-1.7928006E-019,---,---,---,---,---,---,---,---,---
,,,,5,3.1036731E-001,-6.2795517E-002,1.7732427E-018,4.2226766E-005,-8.8151410E-004,-2.4939631E-019,---,---,---,---,---,---,---,---,---
,,,,6,3.6676836E-001,-7.5440956E-002,3.7499583E-018,5.0198572E-005,-8.7446700E-004,-3.3437456E-019,---,---,---,---,---,---,---,---,---
,,,,7,4.1763320E-001,-8.8356301E-002,6.9971544E-018,6.3561273E-005,-9.5676889E-004,-5.1857271E-019,---,---,---,---,---,---,---,---,---
,,,,8,4.6220279E-001,-1.0140836E-001,1.2417613E-017,7.9720577E-005,-1.0714230E-003,-8.4361799E-019,---,---,---,---,---,---,---,---,---
,,,,9,5.0491664E-001,-1.1432903E-001,2.1583119E-017,9.1470840E-005,-1.0919373E-003,-1.3436776E-018,---,---,---,---,---,---,---,---,---
,,,,10,5.4294834E-001,-1.2739059E-001,3.7443821E-017,1.0748091E-004,-1.1607357E-003,-2.3659982E-018,---,---,---,---,---,---,---,---,---
*,,,,Max Value,5.4294834E-001,-1.2420692E-002,-2.3232953E-019,1.0748091E-004,-7.2240256E-004,-9.4543683E-020,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,6.6576393E-002,-1.2739059E-001,-2.3232953E-019,7.1172426E-006,-1.1607357E-003,-9.4543683E-020,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,-1.6317520E-019,8.3337341E-018,-2.9294066E-002,-1.0110872E-019,3.0322939E-024,1.1381861E-004,---,---,---,---,---,---,---,---,---
,,,,2,-1.6170611E-019,1.7917068E-017,-5.8512253E-002,-1.1670078E-019,7.0212169E-024,2.2602011E-004,---,---,---,---,---,---,---,---,---
,,,,3,5.3445312E-020,2.9418246E-017,-8.8000513E-002,-1.4395662E-019,1.3159195E-023,3.4573537E-004,---,---,---,---,---,---,---,---,---
,,,,4,5.6764304E-019,4.3628434E-017,-1.1740629E-001,-1.8226022E-019,2.2500067E-023,4.6056841E-004,---,---,---,---,---,---,---,---,---
,,,,5,1.5078530E-018,6.2062895E-017,-1.4700093E-001,-2.4602711E-019,3.8574323E-023,5.8281421E-004,---,---,---,---,---,---,---,---,---
,,,,6,3.0986244E-018,8.6884975E-017,-1.7640373E-001,-3.4182445E-019,6.5157459E-023,6.9566940E-004,---,---,---,---,---,---,---,---,---
,,,,7,5.7031638E-018,1.2250063E-016,-2.0601075E-001,-5.1189630E-019,1.1524335E-022,8.2137653E-004,---,---,---,---,---,---,---,---,---
,,,,8,1.0040711E-017,1.7555855E-016,-2.3620397E-001,-8.0637662E-019,2.0999070E-022,9.6252559E-004,---,---,---,---,---,---,---,---,---
,,,,9,1.7366047E-017,2.5829333E-016,-2.6618532E-001,-1.2975817E-018,3.8387473E-022,1.0780921E-003,---,---,---,---,---,---,---,---,---
,,,,10,3.0041239E-017,3.9630388E-016,-2.9619660E-001,-2.2353907E-018,7.3919968E-022,1.2036040E-003,---,---,---,---,---,---,---,---,---
*,,,,Max Value,-1.6317520E-019,8.3337341E-018,-2.9294066E-002,-1.0110872E-019,3.0322939E-024,1.2036040E-003,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,10,---,---,---,---,---,---,---,---,---
*,,,,Min Value,-1.6317520E-019,8.3337341E-018,-2.9619660E-001,-1.0110872E-019,3.0322939E-024,1.1381861E-004,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,ñÓî¬-031
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,7.6697643E-002,-1.3806640E-002,-2.8270089E-019,8.7200135E-006,-1.1869231E-003,-1.1843144E-019,---,---,---,---,---,---,---,---,---
,,,,2,1.5312873E-001,-2.7496620E-002,-3.0467319E-019,1.7330241E-005,-1.1938109E-003,-1.3698526E-019,---,---,---,---,---,---,---,---,---
,,,,3,2.2434925E-001,-4.1613780E-002,1.0729585E-020,2.8700303E-005,-1.3479032E-003,-1.7991668E-019,---,---,---,---,---,---,---,---,---
,,,,4,2.9517884E-001,-5.5581650E-002,7.9779640E-019,3.8428108E-005,-1.3585040E-003,-2.2388502E-019,---,---,---,---,---,---,---,---,---
,,,,5,3.6160045E-001,-6.9813563E-002,2.2551929E-018,5.1710678E-005,-1.4935990E-003,-3.1142193E-019,---,---,---,---,---,---,---,---,---
,,,,6,4.2836191E-001,-8.3874159E-002,4.7357672E-018,6.1467836E-005,-1.4773001E-003,-4.1702177E-019,---,---,---,---,---,---,---,---,---
,,,,7,4.8976803E-001,-9.8238082E-002,8.8074211E-018,7.7838766E-005,-1.6441402E-003,-6.4700390E-019,---,---,---,---,---,---,---,---,---
,,,,8,5.4520325E-001,-1.1275590E-001,1.5600322E-017,9.7588665E-005,-1.8723802E-003,-1.0526652E-018,---,---,---,---,---,---,---,---,---
,,,,9,5.9874932E-001,-1.2712661E-001,2.7083056E-017,1.1198148E-004,-1.9175856E-003,-1.6759885E-018,---,---,---,---,---,---,---,---,---
,,,,10,6.4771865E-001,-1.4165589E-001,4.6952917E-017,1.3159445E-004,-2.0651289E-003,-2.9517353E-018,---,---,---,---,---,---,---,---,---
*,,,,Max Value,6.4771865E-001,-1.3806640E-002,-2.8270089E-019,1.3159445E-004,-1.1869231E-003,-1.1843144E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,7.6697643E-002,-1.4165589E-001,-2.8270089E-019,8.7200135E-006,-2.0651289E-003,-1.1843144E-019,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,-1.7223675E-019,8.3337341E-018,-3.8530205E-002,-1.3288815E-019,5.2426437E-024,1.4625370E-004,---,---,---,---,---,---,---,---,---
,,,,2,-1.6216686E-019,1.7917103E-017,-7.6992454E-002,-1.5336465E-019,1.2109643E-023,2.9064454E-004,---,---,---,---,---,---,---,---,---
,,,,3,8.4913973E-020,2.9418594E-017,-1.1655309E-001,-1.9213942E-019,2.3009188E-023,4.5306575E-004,---,---,---,---,---,---,---,---,---
,,,,4,6.6383744E-019,4.3629940E-017,-1.5605635E-001,-2.4238382E-019,3.8892167E-023,6.0437510E-004,---,---,---,---,---,---,---,---,---
,,,,5,1.7160007E-018,6.2067415E-017,-1.9643687E-001,-3.3000181E-019,6.6727847E-023,7.7667618E-004,---,---,---,---,---,---,---,---,---
,,,,6,3.4909823E-018,8.6896315E-017,-2.3651390E-001,-4.5488631E-019,1.1085074E-022,9.2614508E-004,---,---,---,---,---,---,---,---,---
,,,,7,6.3933941E-018,1.2252587E-016,-2.7762652E-001,-6.8804558E-019,1.9703231E-022,1.1137579E-003,---,---,---,---,---,---,---,---,---
,,,,8,1.1222676E-017,1.7561115E-016,-3.2035622E-001,-1.0942303E-018,3.6194480E-022,1.3298117E-003,---,---,---,---,---,---,---,---,---
,,,,9,1.9374478E-017,2.5839929E-016,-3.6308453E-001,-1.7580549E-018,6.6053518E-022,1.4998170E-003,---,---,---,---,---,---,---,---,---
,,,,10,3.3478775E-017,3.9651334E-016,-4.0651346E-001,-3.0483630E-018,1.2844590E-021,1.6997620E-003,---,---,---,---,---,---,---,---,---
*,,,,Max Value,-1.7223675E-019,8.3337341E-018,-3.8530205E-002,-1.3288815E-019,5.2426437E-024,1.6997620E-003,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,10,---,---,---,---,---,---,---,---,---
*,,,,Min Value,-1.7223675E-019,8.3337341E-018,-4.0651346E-001,-1.3288815E-019,5.2426437E-024,1.4625370E-004,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,ñÓî¬-030
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,8.9910399E-002,-1.5163144E-002,-3.3543335E-019,1.0338536E-005,-1.8619090E-003,-1.4373726E-019,---,---,---,---,---,---,---,---,---
,,,,2,1.7953527E-001,-3.0197640E-002,-3.5303595E-019,2.0501672E-005,-1.8713105E-003,-1.6605720E-019,---,---,---,---,---,---,---,---,---
,,,,3,2.6442928E-001,-4.5706459E-002,4.1098424E-020,3.3969547E-005,-2.1423264E-003,-2.1826597E-019,---,---,---,---,---,---,---,---,---
,,,,4,3.4891963E-001,-6.1050267E-002,1.0110366E-018,4.5464917E-005,-2.1581976E-003,-2.7135628E-019,---,---,---,---,---,---,---,---,---
,,,,5,4.2938998E-001,-7.6687542E-002,2.7998859E-018,6.1208580E-005,-2.3980206E-003,-3.7768463E-019,---,---,---,---,---,---,---,---,---
,,,,6,5.1008889E-001,-9.2135389E-002,5.8388794E-018,7.2744999E-005,-2.3662913E-003,-5.0528742E-019,---,---,---,---,---,---,---,---,---
,,,,7,5.8589397E-001,-1.0792036E-001,1.0823072E-017,9.2171204E-005,-2.6665835E-003,-7.8477194E-019,---,---,---,---,---,---,---,---,---
,,,,8,6.5639922E-001,-1.2387688E-001,1.9133637E-017,1.1555418E-004,-3.0727112E-003,-1.2777692E-018,---,---,---,---,---,---,---,---,---
,,,,9,7.2505328E-001,-1.3967100E-001,3.3177476E-017,1.3261647E-004,-3.1572572E-003,-2.0344088E-018,---,---,---,---,---,---,---,---,---
,,,,10,7.8946260E-001,-1.5564184E-001,5.7477999E-017,1.5588217E-004,-3.4305476E-003,-3.5854306E-018,---,---,---,---,---,---,---,---,---
*,,,,Max Value,7.8946260E-001,-1.5163144E-002,-3.3543335E-019,1.5588217E-004,-1.8619090E-003,-1.4373726E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,8.9910399E-002,-1.5564184E-001,-3.3543335E-019,1.0338536E-005,-3.4305476E-003,-1.4373726E-019,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,-1.7891595E-019,8.3337341E-018,-4.9925176E-002,-1.7205763E-019,8.7735533E-024,1.8509956E-004,---,---,---,---,---,---,---,---,---
,,,,2,-1.5839291E-019,1.7917175E-017,-9.9793110E-002,-1.9853758E-019,2.0234162E-023,3.6804200E-004,---,---,---,---,---,---,---,---,---
,,,,3,1.2186066E-019,2.9419116E-017,-1.5179872E-001,-2.5152260E-019,3.8912532E-023,5.8173140E-004,---,---,---,---,---,---,---,---,---
,,,,4,7.6591895E-019,4.3631972E-017,-2.0377882E-001,-3.1636378E-019,6.5419477E-023,7.7678454E-004,---,---,---,---,---,---,---,---,---
