Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,6,1.1791157E-018,8.6854359E-017,-4.3392913E-002,-7.6845161E-020,1.1369348E-023,1.5271500E-004,---,---,---,---,---,---,---,---,---
,,,,7,2.2244985E-018,1.2242861E-016,-4.7506996E-002,-9.4132002E-020,2.2232520E-023,1.2898339E-004,---,---,---,---,---,---,---,---,---
,,,,8,3.9724643E-018,1.7540551E-016,-4.9849621E-002,-1.1537233E-019,4.2649636E-023,8.7026404E-005,---,---,---,---,---,---,---,---,---
,,,,9,6.9306933E-018,2.5798766E-016,-5.1520940E-002,-1.7821909E-019,8.2699714E-023,7.1952345E-005,---,---,---,---,---,---,---,---,---
,,,,10,1.2049950E-017,3.9571405E-016,-5.1723352E-002,-2.4443582E-019,1.5766516E-022,1.6516164E-005,---,---,---,---,---,---,---,---,---
*,,,,Max Value,-8.2132270E-020,8.3337341E-018,-8.8708825E-003,-3.0553170E-020,2.0383551E-025,1.5271500E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,6,---,---,---,---,---,---,---,---,---
*,,,,Min Value,-8.2132270E-020,8.3337341E-018,-5.1723352E-002,-3.0553170E-020,2.0383551E-025,1.6516164E-005,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,10,---,---,---,---,---,---,---,---,---
*,Node,Name,ñÓî¬-036
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,4.5332996E-002,-6.5824565E-003,-6.8749324E-020,1.7634204E-006,-6.1571505E-005,-2.2810425E-020,---,---,---,---,---,---,---,---,---
,,,,2,9.0521266E-002,-1.3111444E-002,-8.1238239E-020,3.5108744E-006,-6.2448957E-005,-2.7064369E-020,---,---,---,---,---,---,---,---,---
,,,,3,1.3121699E-001,-1.9834297E-002,-2.1326776E-020,5.9569532E-006,-6.0588966E-005,-3.6478534E-020,---,---,---,---,---,---,---,---,---
,,,,4,1.7167799E-001,-2.6488980E-002,1.3963008E-019,7.9804323E-006,-6.1223068E-005,-4.6326543E-020,---,---,---,---,---,---,---,---,---
,,,,5,2.0838061E-001,-3.3263359E-002,4.4365606E-019,1.0917984E-005,-5.8183393E-005,-6.5606400E-020,---,---,---,---,---,---,---,---,---
,,,,6,2.4555620E-001,-3.9959562E-002,9.6589072E-019,1.2945999E-005,-5.9188876E-005,-8.9362217E-020,---,---,---,---,---,---,---,---,---
,,,,7,2.7819562E-001,-4.6793307E-002,1.8263600E-018,1.6676364E-005,-5.3476040E-005,-1.4043810E-019,---,---,---,---,---,---,---,---,---
